ds,yhat,yhat_lower,yhat_upper
1901-05-01,-0.25301064580659355,-0.4333243963979132,-0.06539721064303669
1901-06-01,-0.2618016260957746,-0.44342601739577864,-0.0634367084982987
1901-07-01,-0.24678549729593396,-0.43344694905476067,-0.062419536201366574
1901-08-01,-0.2459544395933388,-0.44024845326952905,-0.07858051000127171
1901-09-01,-0.2364122672455823,-0.4370496432724216,-0.05992833018885774
1901-10-01,-0.23442104534523028,-0.4288846620502146,-0.04238580006067174
1901-11-01,-0.24371583532423086,-0.4263138878343911,-0.0634489592959927
1901-12-01,-0.25904938254007687,-0.45057387907792906,-0.059385162113674984
1902-01-01,-0.2595381663581584,-0.4447125900658962,-0.07904057695511477
1902-02-01,-0.2527893533622775,-0.4468246144195742,-0.06951862286762535
1902-03-01,-0.23949405459359666,-0.4457035673799381,-0.06305214280616793
1902-04-01,-0.25119864725892327,-0.4328831462348972,-0.06304671714389265
1902-05-01,-0.257411504194487,-0.4508875710143453,-0.05854015379037063
1902-06-01,-0.25867002060314737,-0.45371658896803013,-0.06650083427686937
1902-07-01,-0.24632743233521467,-0.4242900470068882,-0.05368266702314281
1902-08-01,-0.24695614048665357,-0.4232432791368848,-0.0488500961565656
1902-09-01,-0.24046492929191154,-0.42892846725325184,-0.03507832740651911
1902-10-01,-0.23454643255490518,-0.4228733415919933,-0.05226635198021505
1902-11-01,-0.24150529866697643,-0.4202044072398976,-0.06350987533466021
1902-12-01,-0.26827275932972855,-0.44937400972502395,-0.08095972255945255
1903-01-01,-0.25432670870157087,-0.4497853419096056,-0.055803943494538516
1903-02-01,-0.2513982912883661,-0.44574212503757904,-0.06104712368331799
1903-03-01,-0.24264038100149662,-0.4457853117768381,-0.061166939875979105
1903-04-01,-0.25363330050675453,-0.4372146276111981,-0.05862332380131753
1903-05-01,-0.2617115017098718,-0.4608491489352882,-0.07658047372910429
1903-06-01,-0.2554532370142377,-0.44790962722745686,-0.06987736979766686
1903-07-01,-0.24592885016688515,-0.42724471683397774,-0.0639040317915253
1903-08-01,-0.2480346146108461,-0.45067183386315207,-0.055367840193503624
1903-09-01,-0.24452065527887681,-0.4221630233256869,-0.049956945212888376
1903-10-01,-0.23462175959245762,-0.43769245250677835,-0.04965560069739425
1903-11-01,-0.23937826279484975,-0.41614763362882395,-0.055142912111050754
1903-12-01,-0.27742289396468495,-0.4704541912711694,-0.09626092351440056
1904-01-01,-0.24898535061343266,-0.4445607938035331,-0.06108395663246593
1904-02-01,-0.2500874837129499,-0.43734193844897756,-0.05465363861449996
1904-03-01,-0.23744565060080333,-0.42693662696353646,-0.051410432628169925
1904-04-01,-0.2503811873680628,-0.43776190402649645,-0.05537613143873483
1904-05-01,-0.25251897451975014,-0.4518726561556425,-0.0712232491505805
1904-06-01,-0.26885034512458694,-0.44447584590942596,-0.08219101379866246
1904-07-01,-0.2513067435617882,-0.43838586218775033,-0.06655087263894169
1904-08-01,-0.24903639037557165,-0.4390791531168996,-0.06102753168368312
1904-09-01,-0.23637258754885926,-0.42316825403249353,-0.04924645693113464
1904-10-01,-0.23825149060772646,-0.4244207821940569,-0.05469257579389689
1904-11-01,-0.25001499257275517,-0.45229051706403844,-0.07235792173044227
1904-12-01,-0.2537664649780703,-0.43344854988961,-0.05866673398976642
